Symbol	Description
WPLKOG.AX	Woodside Petroleum Limited
WPLKOM.AX	Woodside Petroleum Limited
WPLKON.AX	Woodside Petroleum Limited
WPLKOP.AX	Woodside Petroleum Limited
WPLKOR.AX	Woodside Petroleum Limited
WPLKOT.AX	Woodside Petroleum Limited
WPLKOU.AX	Woodside Petroleum Limited
WPLKOV.AX	Woodside Petroleum Limited
WPLKOY.AX	Woodside Petroleum Limited
WPLKOZ.AX	Woodside Petroleum Limited
WPLLOA.AX	Woodside Petroleum Limited
WPLLOC.AX	Woodside Petroleum Limited
WPLLOE.AX	Woodside Petroleum Limited
WPLLOF.AX	Woodside Petroleum Limited
WPLLOG.AX	Woodside Petroleum Limited
WPLLOP.AX	Woodside Petroleum Limited
WPLLOR.AX	Woodside Petroleum Limited
WPLLOT.AX	Woodside Petroleum Limited
WPLLOU.AX	Woodside Petroleum Limited
WPLLOV.AX	Woodside Petroleum Limited
WPLQOP.AX	Woodside Petroleum Limited
WRG.AX	Water Resources Group Limited
WRM.AX	White Rock Minerals Limited
WRR.AX	World Reach Ltd
WRT.AX	Westfield Retail Trust
WRTKOA.AX	Westfield Retail Trust
WRTKOB.AX	Westfield Retail Trust
WRTKOP.AX	Westfield Retail Trust
WSA.AX	Western Areas NL
WSAKOB.AX	Western Areas Nl
WSAKOT.AX	Western Areas Limited
WSAKOU.AX	Western Areas Limited
WSF.AX	Westfield Holdings Ltd merger WDC
WTP.AX	Watpac Ltd
WTR.AX	World Titanium Resources Limited
WVL.AX	Windimurra Vanadium Ltd
WWI.AX	West Wits Mining Ltd
WXHG.AX	WXHG
WXOZ.AX	SPDR S&P World Ex Australia Fund
XAF.AX	S&P/ASX All Australian 50
XAM.AX	Xanadu Mines Limited
XAO.AX	ASX All Ordinaries
XAT.AX	S&P/ASX All Australian 200
XBW.AX	S&P/ASX Buy-Write Index
XDJ.AX	S&P/ASX 200 Consumer Discretionary
XEJ.AX	S&P/ASX 200 Energy
XF1.AX	Xref Limited
XFJ.AX	S&P/ASX 200 Financials
XFL.AX	S&P/ASX 50
XGD.AX	S&P/ASX All Ordinaries Gold
XHJ.AX	S&P/ASX 200 Health Care
XIJ.AX	S&P/ASX 200 Information Technology
XIP.AX	Xenith Ip Group Limited
XJO.AX	S&P/ASX 200
XJOKOB.AX	XJOKOB
XJOKOC.AX	XJOKOC
XJOKOE.AX	XJOKOE
XJOKOF.AX	XJOKOF
XJOKOG.AX	XJOKOG
XJOKOJ.AX	XJOKOJ
XJOKOK.AX	XJOKOK
XJOKOL.AX	XJOKOL
XJOKOM.AX	XJOKOM
XJOKOO.AX	XJOKOO
XJOKOP.AX	XJOKOP
XJOKOQ.AX	XJOKOQ
XJOKOR.AX	XJOKOR
XJOKOS.AX	XJOKOS
XJOKOT.AX	XJOKOT
XJOKOU.AX	XJOKOU
XJOKOV.AX	XJOKOV
XJOKOY.AX	XJOKOY
XJOKOZ.AX	XJOKOZ
XJOLOA.AX	XJOLOA
XJOLOB.AX	XJOLOB
XJOLOC.AX	XJOLOC
XJOLOD.AX	XJOLOD
XJOLOE.AX	XJOLOE
XJOLOF.AX	XJOLOF
XJOLOG.AX	XJOLOG
XJOLOP.AX	XJOLOP
XJOLOS.AX	XJOLOS
XJOLOT.AX	XJOLOT
XJOLOU.AX	XJOLOU
XJOLOV.AX	XJOLOV
XJOLOW.AX	XJOLOW
XJOLOX.AX	XJOLOX
XJOLOY.AX	XJOLOY
XJOMOB.AX	XJOMOB
XJOMOC.AX	XJOMOC
XJOMOE.AX	XJOMOE
XJOMOQ.AX	XJOMOQ
XJOMOS.AX	XJOMOS
XJOMOT.AX	XJOMOT
XJOMOU.AX	XJOMOU
XJOQOA.AX	XJOQOA
XJOQOE.AX	XJOQOE
XJOQOP.AX	XJOQOP
XJOQOT.AX	XJOQOT
XJOQOU.AX	XJOQOU
XJOQOV.AX	XJOQOV
XJOQOX.AX	XJOQOX
XKO.AX	S&P/ASX 300
XMD.AX	S&P/ASX Midcap 50
XMJ.AX	S&P/ASX 200 Materials
XMM.AX	S&P/ASX 300 Metals And Mining
XNJ.AX	S&P/ASX 200 Industrials
XPD.AX	Xpd Soccer Gear Group Limited
XPJ.AX	S&P/ASX 200 Property Trusts
XRF.AX	XRF Scientific Ltd
XRO.AX	Xero Limited
XSJ.AX	S&P/ASX 200 Consumer Staples
XSO.AX	S&P/ASX Small Ordinaries
XST.AX	Xstate Resources Ltd
XTD.AX	Xtd Ltd
XTE.AX	ASX Telecommunications
XTJ.AX	S&P/ASX 200 Telecommunication Services
XTL.AX	S&P/ASX 20
XTO.AX	S&P/ASX 100
XTV.AX	Xtv Networks Ltd
XTVO.AX	Xtv Networks Ltd
XUJ.AX	S&P/ASX 200 Utilities
XXJ.AX	S&P/ASX 200 Financials x Property Trusts
YAL.AX	Yancoal Australia Limited
YBR.AX	Yellow Brick Road Holdings Limited
YHL.AX	Yanghao International Limited
YNB.AX	Yonder And Beyond Group Limited
YOW.AX	Yowie Group Ltd
YPB.AX	Ypb Group Ltd
YPBO.AX	Ypb Group Ltd
YTMAPA.AX	YTMAPA
YTMAZJ.AX	YTMAZJ
YTMBHP.AX	YTMBHP
YTMCTX.AX	YTMCTX
YTMCWN.AX	YTMCWN
YTMF01.AX	YTMF01
YTMF02.AX	YTMF02
YTMF03.AX	YTMF03
YTMF04.AX	YTMF04
YTMF06.AX	YTMF06
YTMGPT.AX	YTMGPT
YTMLL1.AX	YTMLL1
YTMLLC.AX	YTMLLC
YTMMGR.AX	YTMMGR
YTMQF2.AX	YTMQF2
YTMQF3.AX	YTMQF3
YTMTLS.AX	YTMTLS
ZAM.AX	Zamanco Minerals Limited
ZCLKOF.AX	ZCLKOF
ZCLKOG.AX	ZCLKOG
ZCLKOH.AX	ZCLKOH
ZCLKOJ.AX	ZCLKOJ
ZCLKOK.AX	ZCLKOK
ZCLKOL.AX	ZCLKOL
ZCLKOM.AX	ZCLKOM
ZCLKOP.AX	ZCLKOP
ZCLKOQ.AX	ZCLKOQ
ZCLKOR.AX	ZCLKOR
ZCLKOS.AX	ZCLKOS
ZCLKOT.AX	ZCLKOT
ZCLKOU.AX	ZCLKOU
ZCLKOV.AX	ZCLKOV
ZCNH.AX	ZCNH
ZER.AX	Zeta Resources Limited
ZERO.AX	Zeta Resources Limited
ZEU.AX	Zeus Resources Limited
ZGCKOA.AX	ZGCKOA
ZGCKOB.AX	ZGCKOB
ZGCKOC.AX	ZGCKOC
ZGCKOD.AX	ZGCKOD
ZGCKOF.AX	ZGCKOF
ZGCKOG.AX	ZGCKOG
ZGCKOH.AX	ZGCKOH
ZGCKOP.AX	ZGCKOP
ZGCKOQ.AX	ZGCKOQ
ZGCKOT.AX	ZGCKOT
ZGCKOV.AX	ZGCKOV
ZGCKOW.AX	ZGCKOW
ZGCKOX.AX	ZGCKOX
ZGL.AX	Zicom Group Ltd
ZGM.AX	Zamia Gold Mines Ltd
ZGOL.AX	ZGOL
ZHGKOA.AX	ZHGKOA
ZHGKOC.AX	ZHGKOC
ZHGKOH.AX	ZHGKOH
ZHGKOW.AX	ZHGKOW
ZHGKOX.AX	ZHGKOX
ZHGKOY.AX	ZHGKOY
ZIM.AX	Zimbabwe Platinum Mines Ltd
ZIP.AX	Ziptel Limited
ZIPO.AX	Ziptel Limited
ZML.AX	Zipmoney Ltd
ZNC.AX	Zinc Co Australia Ltd
ZNZ.AX	Z Energy Limited
ZRL.AX	Zambezi Resources Ltd
ZSIKOA.AX	ZSIKOA
ZSIKOB.AX	ZSIKOB
ZSIKOD.AX	ZSIKOD
ZSIKOE.AX	ZSIKOE
ZSIKOJ.AX	ZSIKOJ
ZSIKOQ.AX	ZSIKOQ
ZSIKOS.AX	ZSIKOS
ZSIKOT.AX	ZSIKOT
ZSIKOU.AX	ZSIKOU
ZTA.AX	Zeta Petroleum Plc
ZYAU.AX	ZYAU
ZYB.AX	Zyber Holdings Ltd
ZYL.AX	Zylotech Ltd
